Entry	Gene names	Entry name	Cross-reference (GeneID)
Q9BV36	MLPH SLAC2A	MELPH_HUMAN	79083
Q9Y3D8	AK6 CINAP AD-004 CGI-137	KAD6_HUMAN	102157402
P09211	GSTP1 FAEES3 GST3	GSTP1_HUMAN	2950
Q8NB16	MLKL	MLKL_HUMAN	197259
Q02846	GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1	GUC2D_HUMAN	3000
P01705	IGLV2-23	LV223_HUMAN	
Q9Y616	IRAK3	IRAK3_HUMAN	11213
Q9NVD7	PARVA MXRA2	PARVA_HUMAN	55742
Q9GZP0	PDGFD IEGF SCDGFB MSTP036 UNQ1899/PRO4345	PDGFD_HUMAN	80310
Q7RTR2	NLRC3 NOD3	NLRC3_HUMAN	197358
Q15121	PEA15	PEA15_HUMAN	8682
Q0GE19	SLC10A7 C4orf13 P7 PSEC0051	NTCP7_HUMAN	84068
O95255	ABCC6 ARA MRP6	MRP6_HUMAN	368
Q9NQ66	PLCB1 KIAA0581	PLCB1_HUMAN	23236
Q9P270	SLAIN2 KIAA1458	SLAI2_HUMAN	57606
Q9P0V8	SLAMF8 BLAME	SLAF8_HUMAN	56833
Q12888	TP53BP1	TP53B_HUMAN	7158
Q9Y6J9	TAF6L PAF65A	TAF6L_HUMAN	10629
Q15437	SEC23B	SC23B_HUMAN	10483
Q9NSA0	SLC22A11 OAT4	S22AB_HUMAN	55867
Q8TEV9	SMCR8	SMCR8_HUMAN	140775
Q9NY15	STAB1 FEEL1 KIAA0246	STAB1_HUMAN	23166
P48775	TDO2 TDO	T23O_HUMAN	6999
P29084	GTF2E2 TF2E2	T2EB_HUMAN	2961
Q96I99	SUCLG2	SUCB2_HUMAN	8801
Q6ZNK6	TIFAB	TIFAB_HUMAN	497189
Q9NUY8	TBC1D23 NS4ATP1	TBC23_HUMAN	55773
Q9UBN4	TRPC4	TRPC4_HUMAN	7223
O60907	TBL1X TBL1	TBL1X_HUMAN	6907
Q3YBR2	TBRG1 NIAM	TBRG1_HUMAN	84897
A6NFA1	TRABD2B HKAT TIKI2	TIKI2_HUMAN	388630
Q86V40	TRABD2A C2orf89 TIKI1	TIKI1_HUMAN	129293
O15178	TBXT T	TBXT_HUMAN	6862
Q96B02	UBE2W UBC16	UBE2W_HUMAN	55284
Q9UJ78	ZMYM5 ZNF198L1 ZNF237 HSPC050	ZMYM5_HUMAN	9205
Q15973	ZNF124	ZN124_HUMAN	7678
P35968	KDR FLK1 VEGFR2	VGFR2_HUMAN	3791
Q96JM2	ZNF462 KIAA1803	ZN462_HUMAN	58499
Q96MU7	YTHDC1 KIAA1966 YT521	YTDC1_HUMAN	91746
Q6PFW1	PPIP5K1 HISPPD2A IP6K IPS1 KIAA0377 VIP1	VIP1_HUMAN	9677
P40306	PSMB10 LMP10 MECL1	PSB10_HUMAN	5699
P28065	PSMB9 LMP2 PSMB6i RING12	PSB9_HUMAN	5698
Q9NRZ7	AGPAT3 LPAAT3 UNQ759/PRO1490	PLCC_HUMAN	56894
P14923	JUP CTNNG DP3	PLAK_HUMAN	3728
P54829	PTPN5	PTN5_HUMAN	84867
P07101	TH TYH	TY3H_HUMAN	7054
Q99592	ZBTB18 RP58 TAZ1 ZNF238	ZBT18_HUMAN	10472
Q9Y2K1	ZBTB1 KIAA0997	ZBTB1_HUMAN	22890
Q06418	TYRO3 BYK DTK RSE SKY TIF	TYRO3_HUMAN	7301
P22310	UGT1A4 GNT1 UGT1	UD14_HUMAN	54657
Q9HAW9	UGT1A8 GNT1 UGT1	UD18_HUMAN	54576
P06133	UGT2B4 UGT2B11	UD2B4_HUMAN	7363
O94874	UFL1 KIAA0776 MAXER NLBP RCAD	UFL1_HUMAN	23376
Q709C8	VPS13C KIAA1421	VP13C_HUMAN	54832
Q86XT2	VPS37D WBSCR24	VP37D_HUMAN	155382
Q8N1B4	VPS52 SACM2L	VPS52_HUMAN	6293
Q86WI3	NLRC5 NOD27 NOD4	NLRC5_HUMAN	84166
P0C869	PLA2G4B	PA24B_HUMAN	100137049
Q8WV22	NSMCE1 HSPC333 HSPC337	NSE1_HUMAN	197370
O00712	NFIB	NFIB_HUMAN	4781
O15438	ABCC3 CMOAT2 MLP2 MRP3	MRP3_HUMAN	8714
P45379	TNNT2	TNNT2_HUMAN	7139
Q9Y5U5	TNFRSF18 AITR GITR UNQ319/PRO364	TNR18_HUMAN	8784
P12081	HARS HRS	SYHC_HUMAN	3035
Q92956	TNFRSF14 HVEA HVEM UNQ329/PRO509	TNR14_HUMAN	8764
Q8IWL1	SFTPA2 COLEC5 PSAP SFTP1 SFTPA SFTPA2B	SFPA2_HUMAN	729238
Q6FHJ7	SFRP4 FRPHE	SFRP4_HUMAN	6424
Q9NPC8	SIX2	SIX2_HUMAN	10736
Q92629	SGCD	SGCD_HUMAN	6444
Q9NP91	SLC6A20 SIT1 XT3 XTRP3	S6A20_HUMAN	54716
Q9Y265	RUVBL1 INO80H NMP238 TIP49 TIP49A	RUVB1_HUMAN	8607
Q96HU1	SGSM3 MAP RABGAPLP RUTBC3	SGSM3_HUMAN	27352
Q8NF91	SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1	SYNE1_HUMAN	23345
Q99963	SH3GL3 CNSA3 SH3D2C	SH3G3_HUMAN	6457
Q8NBJ7	SUMF2 PSEC0171 UNQ1968/PRO4500	SUMF2_HUMAN	25870
Q92547	TOPBP1 KIAA0259	TOPB1_HUMAN	11073
Q96KB5	PBK TOPK	TOPK_HUMAN	55872
P29353	SHC1 SHC SHCA	SHC1_HUMAN	6464
G2XKQ0	SUMO1P1 SUMO5 UBL2 UBL6	SUMO5_HUMAN	
Q70HW3	SLC25A26 SAMC	SAMC_HUMAN	115286
O94842	TOX4 C14orf92 KIAA0737	TOX4_HUMAN	9878
Q93096	PTP4A1 PRL1 PTPCAAX1	TP4A1_HUMAN	7803
O60292	SIPA1L3 KIAA0545 SPAL3	SI1L3_HUMAN	23094
Q9BVW5	TIPIN	TIPIN_HUMAN	54962
P19544	WT1	WT1_HUMAN	7490
Q9Y6X6	MYO16 KIAA0865 MYO16B NYAP3	MYO16_HUMAN	23026
Q9Y3E5	PTRH2 BIT1 PTH2 CGI-147	PTH2_HUMAN	51651
Q9UMS6	SYNPO2	SYNP2_HUMAN	171024
Q9H0Z9	RBM38 RNPC1 SEB4	RBM38_HUMAN	55544
Q9Y2L5	TRAPPC8 KIAA1012	TPPC8_HUMAN	22878
P18405	SRD5A1	S5A1_HUMAN	6715
Q496J9	SV2C KIAA1054	SV2C_HUMAN	22987
Q96JF0	ST6GAL2 KIAA1877 SIAT2	SIAT2_HUMAN	84620
P31949	S100A11 MLN70 S100C	S10AB_HUMAN	6282
Q9BWD1	ACAT2 ACTL	THIC_HUMAN	39
Q9BZM4	ULBP3 N2DL3 RAET1N	ULBP3_HUMAN	79465
Q6ZN44	UNC5A KIAA1976 UNC5H1	UNC5A_HUMAN	90249
Q8WTR7	ZNF473 KIAA1141 ZFP100	ZN473_HUMAN	25888
Q9H8N7	ZNF395 HDBP2 PBF	ZN395_HUMAN	55893
Q6XR72	SLC30A10 ZNT10 ZNT8	ZNT10_HUMAN	55532
P01282	VIP	VIP_HUMAN	7432
Q9BYJ9	YTHDF1 C20orf21	YTHD1_HUMAN	54915
Q93097	WNT2B WNT13	WNT2B_HUMAN	7482
Q2YD98	UVSSA KIAA1530	UVSSA_HUMAN	57654
Q96PN8	TSSK3 SPOGA3 STK22C	TSSK3_HUMAN	81629
Q8TAA9	VANGL1 STB2	VANG1_HUMAN	81839
Q8NEZ2	VPS37A HCRP1	VP37A_HUMAN	137492
O75528	TADA3 ADA3 TADA3L	TADA3_HUMAN	10474
P04271	S100B	S100B_HUMAN	6285
Q06330	RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH	SUH_HUMAN	3516
Q86UE8	TLK2	TLK2_HUMAN	11011
Q86WV5	TEN1 C17orf106	TEN1L_HUMAN	100134934
Q9BTM9	URM1 C9orf74	URM1_HUMAN	81605
Q9H0D6	XRN2	XRN2_HUMAN	22803
Q8N6Y0	USHBP1 AIEBP MCC2	USBP1_HUMAN	83878
Q9BTA9	WAC KIAA1844	WAC_HUMAN	51322
Q7Z5K2	WAPL FOE KIAA0261 WAPAL	WAPL_HUMAN	23063
Q15661	TPSAB1 TPS1 TPS2 TPSB1	TRYB1_HUMAN	7177
Q8NG11	TSPAN14 TM4SF14	TSN14_HUMAN	81619
Q969S3	ZNF622 ZPR9	ZN622_HUMAN	90441
Q6DKK2	TTC19	TTC19_HUMAN	54902
P56279	TCL1A TCL1	TCL1A_HUMAN	8115
Q13569	TDG	TDG_HUMAN	6996
Q92738	USP6NL KIAA0019	US6NL_HUMAN	9712
Q96RU2	USP28 KIAA1515	UBP28_HUMAN	57646
P43403	ZAP70 SRK	ZAP70_HUMAN	7535
O95365	ZBTB7A FBI1 LRF ZBTB7 ZNF857A	ZBT7A_HUMAN	51341
Q96MV8	ZDHHC15 UNQ1969/PRO4501	ZDH15_HUMAN	158866
P15822	HIVEP1 ZNF40	ZEP1_HUMAN	3096
Q562E7	WDR81	WDR81_HUMAN	124997
Q15361	TTF1	TTF1_HUMAN	7270
Q9NY84	VNN3	VNN3_HUMAN	55350
Q05086	UBE3A E6AP EPVE6AP HPVE6A	UBE3A_HUMAN	7337
Q92536	SLC7A6 KIAA0245	YLAT2_HUMAN	9057
Q6ZSB9	ZBTB49 ZNF509	ZBT49_HUMAN	166793
P19971	TYMP ECGF1	TYPH_HUMAN	1890
Q96BR9	ZBTB8A BOZF1	ZBT8A_HUMAN	653121
P47985	UQCRFS1	UCRI_HUMAN	7386
O60656	UGT1A9 GNT1 UGT1	UD19_HUMAN	54600
Q641Q2	WASHC2A FAM21A FAM21B	WAC2A_HUMAN	387680
P15692	VEGFA VEGF	VEGFA_HUMAN	7422
Q86VQ6	TXNRD3 TGR TRXR3	TRXR3_HUMAN	114112
Q9H4A3	WNK1 HSN2 KDP KIAA0344 PRKWNK1	WNK1_HUMAN	65125
Q9H582	ZNF644 KIAA1221 ZEP2	ZN644_HUMAN	84146
Q8N720	ZNF655 VIK	ZN655_HUMAN	79027
Q6WKZ4	RAB11FIP1 RCP	RFIP1_HUMAN	80223
Q07020	RPL18	RL18_HUMAN	6141
Q9UGC6	RGS17 RGSZ2	RGS17_HUMAN	26575
Q14964	RAB39A RAB39	RB39A_HUMAN	54734
Q8TDY2	RB1CC1 KIAA0203 RBICC	RBCC1_HUMAN	9821
Q00577	PURA PUR1	PURA_HUMAN	5813
P0DI81	TRAPPC2 SEDL	TPC2A_HUMAN	6399
P34925	RYK JTK5A	RYK_HUMAN	6259
Q9NQW1	SEC31B SEC31L2	SC31B_HUMAN	25956
Q8WWT9	SLC13A3 NADC3 SDCT2	S13A3_HUMAN	64849
Q13428	TCOF1	TCOF_HUMAN	6949
Q6ZSK4	NTM-AS1 C11orf39	NTAS1_HUMAN	
P0DPB5	POLR1D	RPC22_HUMAN	51082
Q9BT43	POLR3GL	RPC7L_HUMAN	84265
P51157	RAB28	RAB28_HUMAN	9364
Q6GMV3	PTRHD1 C2orf79	PTRD1_HUMAN	391356
P0DP57	SLURP2	SLUR2_HUMAN	432355
Q96MN5	TCEANC2 C1orf83	TEAN2_HUMAN	127428
Q96IK0	TMEM101	TM101_HUMAN	84336
Q6ZWK6	TMPRSS11F HATL4	TM11F_HUMAN	389208
Q8IYU4	UBQLNL	UBQLN_HUMAN	143630
Q9NVE5	USP40	UBP40_HUMAN	55230
Q6A555	TXNDC8 SPTRX3 TRX6	TXND8_HUMAN	255220
Q14146	URB2 KIAA0133	URB2_HUMAN	9816
Q96K62	ZBTB45 ZNF499	ZBT45_HUMAN	84878
Q9Y2L8	ZKSCAN5 KIAA1015 ZFP95	ZKSC5_HUMAN	23660
Q9UJW8	ZNF180	ZN180_HUMAN	7733
Q2M3X9	ZNF674	ZN674_HUMAN	641339
Q96PQ6	ZNF317 KIAA1588	ZN317_HUMAN	57693
Q9Y3M9	ZNF337	ZN337_HUMAN	26152
Q8NE65	ZNF738	ZN738_HUMAN	
B7Z6K7	ZNF814	ZN814_HUMAN	730051
Q14585	ZNF345	ZN345_HUMAN	25850
Q9NQX6	ZNF331 RITA ZNF361 ZNF463	ZN331_HUMAN	55422
P17036	ZNF3 KOX25	ZNF3_HUMAN	7551
Q96N77	ZNF641	ZN641_HUMAN	121274
Q6ZS27	ZNF662	ZN662_HUMAN	389114
Q96K58	ZNF668	ZN668_HUMAN	79759
P17024	ZNF20 KOX13	ZNF20_HUMAN	7568
P98168	ZXDA	ZXDA_HUMAN	7789
Q7Z3U7	MON2 KIAA1040 SF21	MON2_HUMAN	23041
A3KN83	SBNO1 MOP3	SBNO1_HUMAN	55206
Q96IW7	SEC22A SEC22L2	SC22A_HUMAN	26984
Q8N616	LINC00311 NCRNA00311 TMEM148	TM148_HUMAN	
Q86T26	TMPRSS11B HATL5	TM11B_HUMAN	132724
Q6NUQ4	TMEM214 PP446	TM214_HUMAN	54867
Q9H0V1	TMEM168	TM168_HUMAN	64418
Q66K66	TMEM198	TM198_HUMAN	130612
Q6ZRP5		YD019_HUMAN	
Q499Y3		YJ016_HUMAN	
A0A0B4J280	TRAV40	TVA40_HUMAN	
A0A0A6YYJ7	TRAV8-3	TVA83_HUMAN	
Q9UNX4	WDR3	WDR3_HUMAN	10885
P58317	ZNF121 ZNF20	ZN121_HUMAN	7675
O75820	ZNF189	ZN189_HUMAN	7743
Q8N2C7	UNC80 C2orf21 KIAA1843	UNC80_HUMAN	285175
Q5CZA5	ZNF805	ZN805_HUMAN	390980
Q9H7R0	ZNF442	ZN442_HUMAN	79973
Q8NB42	ZNF527 KIAA1829	ZN527_HUMAN	84503
Q3MIS6	ZNF528 KIAA1827	ZN528_HUMAN	84436
Q9Y5U2	TSSC4	TSSC4_HUMAN	10078
Q9UK11	ZNF223	ZN223_HUMAN	7766
P17023	ZNF19 KOX12	ZNF19_HUMAN	7567
Q3MJ62	ZSCAN23 ZNF390 ZNF453	ZSC23_HUMAN	222696
Q9Y4I5	TESMIN MTL5	MTL5_HUMAN	9633
Q5TGP6	MROH9 C1orf129	MROH9_HUMAN	80133
P22103		PNEU_HUMAN	
Q86UW6	N4BP2 B3BP KIAA1413	N4BP2_HUMAN	55728
Q96AX2	RAB37	RAB37_HUMAN	326624
Q9NZH5	PTTG2	PTTG2_HUMAN	10744
E5RIL1	UPK3BL2	UPKL2_HUMAN	100134938
Q9HBJ7	USP29	UBP29_HUMAN	57663
Q86YH2	ZNF280B SUHW2 ZNF279 ZNF632	Z280B_HUMAN	140883
A6NNY8	USP27X USP22L USP27	UBP27_HUMAN	389856
Q70EK8	USP53 KIAA1350	UBP53_HUMAN	54532
Q8N7P7		YH007_HUMAN	
Q6P3V2	ZNF585A	Z585A_HUMAN	199704
Q6N043	ZNF280D KIAA1584 SUHW4 ZNF634	Z280D_HUMAN	54816
Q9BTP6	ZBED2	ZBED2_HUMAN	79413
P86452	ZBED6	ZBED6_HUMAN	100381270
Q8IZN3	ZDHHC14	ZDH14_HUMAN	79683
Q6ICG8	WBP2NL PAWP	WBP2L_HUMAN	164684
Q8IX01	SUGP2 KIAA0365 SFRS14	SUGP2_HUMAN	10147
Q96CP7	TLCD1	TLCD1_HUMAN	116238
Q9Y5J9	TIMM8B DDP2 DDPL TIM8B	TIM8B_HUMAN	26521
A8MWL7	TMEM14DP TMEM14D	TM14D_HUMAN	
Q9NPI0	TMEM138 HSPC196 HSPC198	TM138_HUMAN	51524
Q7Z5S9	TMEM144	TM144_HUMAN	55314
A6NHS1		YK042_HUMAN	
P0CI00	ZNF705B	Z705B_HUMAN	100132396
Q8NHM4	PRSS3P2 T6 TRY6	TRY6_HUMAN	
Q96FK6	WDR89 C14orf150 MSTP050	WDR89_HUMAN	112840
Q8IWA0	WDR75 UTP17	WDR75_HUMAN	84128
Q13360	ZNF177	ZN177_HUMAN	100529215
Q9NW82	WDR70	WDR70_HUMAN	55100
Q9BRX9	WDR83 MORG1	WDR83_HUMAN	84292
B1ANS9	WDR64	WDR64_HUMAN	
Q96JL9	ZNF333 KIAA1806	ZN333_HUMAN	84449
Q8N9F8	ZNF454	ZN454_HUMAN	285676
Q96JC4	ZNF479	ZN479_HUMAN	90827
Q8TF20	ZNF721 KIAA1982	ZN721_HUMAN	170960
Q8N184	ZNF567	ZN567_HUMAN	163081
Q6UXI7	VIT UNQ647/PRO1277	VITRN_HUMAN	5212
O43309	ZSCAN12 KIAA0426 ZNF305 ZNF96	ZSC12_HUMAN	
Q7Z5L0	VMO1 UNQ6350/PRO21055	VMO1_HUMAN	284013
Q92628	KIAA0232	K0232_HUMAN	9778
Q96JB3	HIC2 HRG22 KIAA1020 ZBTB30	HIC2_HUMAN	23119
Q5VVH5	IRAK1BP1	IKBP1_HUMAN	134728
A4D1E9	GTPBP10 OBGH2 UG0751c10	GTPBA_HUMAN	85865
Q8NDC0	MAPK1IP1L C14orf32	MISSL_HUMAN	93487
A0A0A0MRZ9	IGLV5-52	LV552_HUMAN	
Q96PU9	ODF3 SHIPPO1 TISP50	ODF3A_HUMAN	113746
Q9Y5U9	IER3IP1 HSPC039	IR3IP_HUMAN	51124
Q9Y573	IPP KLHL27	IPP_HUMAN	3652
Q6UWN0	LYPD4 UNQ2552/PRO6181	LYPD4_HUMAN	147719
Q6UWN5	LYPD5 UNQ1908/PRO4356	LYPD5_HUMAN	284348
Q9H720	CWH43 PGAP2IP	PG2IP_HUMAN	80157
O15375	SLC16A5 MCT5 MCT6	MOT6_HUMAN	9121
Q9NRJ1	C8orf17	MOST1_HUMAN	
Q9NSI8	SAMSN1 HACS1	SAMN1_HUMAN	64092
Q16563	SYPL1 SYPL	SYPL1_HUMAN	6856
Q9NXL6	SIDT1	SIDT1_HUMAN	54847
Q8IY34	SLC15A3 OCTP PHT2 PTR3	S15A3_HUMAN	51296
A0AV02	SLC12A8 CCC9	S12A8_HUMAN	84561
A6NFE2	SMCO2 C12orf70	SMCO2_HUMAN	341346
Q9NYW3	TAS2R7	TA2R7_HUMAN	50837
Q9UJT1	TUBD1 TUBD	TBD_HUMAN	51174
A7MCY6	TBKBP1 KIAA0775 SINTBAD	TBKB1_HUMAN	9755
Q5VVX9	UBE2U	UBE2U_HUMAN	148581
Q14139	UBE4A KIAA0126	UBE4A_HUMAN	9354
Q8NHY6	ZFP28 KIAA1431	ZFP28_HUMAN	140612
Q96EF9	ZHX1-C8orf76 C8orf76	ZHX1R_HUMAN	100533106
Q8TBZ3	WDR20	WDR20_HUMAN	91833
O95789	ZMYM6 Buster2 KIAA1353 ZNF258	ZMYM6_HUMAN	9204
Q9P0L1	ZKSCAN7 ZNF167 ZNF448 ZNF64	ZKSC7_HUMAN	55888
Q8IWG1	WDR63	WDR63_HUMAN	126820
P52746	ZNF142 KIAA0236	ZN142_HUMAN	7701
Q86TI4	WDR86	WDR86_HUMAN	349136
Q9UK12	ZNF222	ZN222_HUMAN	7673
Q96BV0	ZNF775	ZN775_HUMAN	285971
Q8TCV5	WFDC5 PRG5 WAP1 UNQ3036/PRO9842	WFDC5_HUMAN	149708
Q7Z4V0	ZNF438	ZN438_HUMAN	220929
Q17R98	ZNF827	ZN827_HUMAN	152485
Q96EG3	ZNF837	ZN837_HUMAN	116412
Q8TF50	ZNF526 KIAA1951	ZN526_HUMAN	116115
Q8TAF7	ZNF461 GIOT1	ZN461_HUMAN	92283
Q53HI1	UNC50 UNCL HSD-23 HSD23	UNC50_HUMAN	25972
P15621	ZNF44 GIOT2 KOX7 ZNF55 ZNF58	ZNF44_HUMAN	51710
Q8N2I2	ZNF619	ZN619_HUMAN	285267
Q8N9Z0	ZNF610	ZN610_HUMAN	162963
Q9UI38	PRSS50 CT20 TSP50	TSP50_HUMAN	29122
Q15649	ZNHIT3 TRIP3	ZNHI3_HUMAN	9326
Q6NXR4	TTI2 C8orf41	TTI2_HUMAN	80185
Q8TF01	PNISR C6orf111 SFRS18 SRRP130 HSPC261 HSPC306	PNISR_HUMAN	25957
Q63HM9	PLCXD3	PLCX3_HUMAN	345557
Q9UBY0	SLC9A2 NHE2	SL9A2_HUMAN	6549
Q8TBY0	RBM46	RBM46_HUMAN	166863
Q8N300	SVBP CCDC23	SVBP_HUMAN	374969
O15466	ST8SIA5 SIAT8E	SIA8E_HUMAN	29906
Q6PKC3	TXNDC11 EFP1	TXD11_HUMAN	51061
Q9NVA1	UQCC1 BZFB C20orf44 UQCC	UQCC1_HUMAN	55245
Q9UKP6	UTS2R GPR14	UR2R_HUMAN	2837
Q8NFD4		YI018_HUMAN	
O95847	SLC25A27 UCP4 UNQ772/PRO1566	UCP4_HUMAN	9481
Q5PR19		YI024_HUMAN	
Q9H0M4	ZCWPW1	ZCPW1_HUMAN	55063
Q8TBF4	ZCRB1	ZCRB1_HUMAN	85437
Q5TIE3	VWA5B1	VW5B1_HUMAN	127731
Q8N2E2	VWDE	VWDE_HUMAN	221806
O95670	ATP6V1G2 ATP6G ATP6G2 NG38	VATG2_HUMAN	534
Q58A44	PCOTH C1QTNF9B-AS1	PCOTH_HUMAN	542767
Q8TE76	MORC4 ZCW4 ZCWCC2	MORC4_HUMAN	79710
Q5VTT5	MYOM3	MYOM3_HUMAN	127294
O14787	TNPO2	TNPO2_HUMAN	30000
