Entry	Gene names	Entry name
P86434	ADORA2A-AS1 C22orf45	AAS1_HUMAN
Q9UDR5	AASS	AASS_HUMAN
Q8NHS2	GOT1L1	AATC2_HUMAN
Q7Z5M8	ABHD12B C14orf29	AB12B_HUMAN
Q7Z5R6	APBB1IP PREL1 RARP1 RIAM	AB1IP_HUMAN
P31941	APOBEC3A	ABC3A_HUMAN
Q9NRW3	APOBEC3C APOBEC1L PBI	ABC3C_HUMAN
Q6NTF7	APOBEC3H	ABC3H_HUMAN
Q8IUA7	ABCA9	ABCA9_HUMAN
Q8IZY2	ABCA7	ABCA7_HUMAN
Q86UK0	ABCA12 ABC12	ABCAC_HUMAN
Q9NUQ8	ABCF3	ABCF3_HUMAN
P08910	ABHD2 LABH2	ABHD2_HUMAN
Q9NUJ1	ABHD10	ABHDA_HUMAN
Q96IU4	ABHD14B CIB	ABHEB_HUMAN
O95870	ABHD16A BAT5 G5 NG26 PP199	ABHGA_HUMAN
Q9NYB9	ABI2 ARGBPIA	ABI2_HUMAN
O00763	ACACB ACC2 ACCB	ACACB_HUMAN
Q8NC06	ACBD4 HMFT0700	ACBD4_HUMAN
Q5T8D3	ACBD5 KIAA1996	ACBD5_HUMAN
Q96GR2	ACSBG1 BGM KIAA0631 LPD	ACBG1_HUMAN
Q96AP0	ACD PIP1 PTOP TINT1 TPP1	ACD_HUMAN
Q8TDN7	ACER1 ASAH3	ACER1_HUMAN
Q5QJU3	ACER2 ASAH3L PP11646	ACER2_HUMAN
P22303	ACHE	ACES_HUMAN
P02708	CHRNA1 ACHRA CHNRA	ACHA_HUMAN
P17787	CHRNB2	ACHB2_HUMAN
Q05901	CHRNB3	ACHB3_HUMAN
P30926	CHRNB4	ACHB4_HUMAN
Q8NEB7	ACRBP	ACRBP_HUMAN
P10323	ACR ACRS	ACRO_HUMAN
Q9NUB1	ACSS1 ACAS2L KIAA1846	ACS2L_HUMAN
P33121	ACSL1 FACL1 FACL2 LACS LACS1 LACS2	ACSL1_HUMAN
Q9ULC5	ACSL5 ACS5 FACL5 UNQ633/PRO1250	ACSL5_HUMAN
P68032	ACTC1 ACTC	ACTC_HUMAN
O75078	ADAM11 MDC	ADA11_HUMAN
Q9Y3Q7	ADAM18 TMDC3 UNQ858/PRO1867	ADA18_HUMAN
Q6P093	AADACL2	ADCL2_HUMAN
Q30134	HLA-DRB1	2B18_HUMAN
Q95IE3	HLA-DRB1	2B1C_HUMAN
Q5Y7A7	HLA-DRB1	2B1D_HUMAN
P26439	HSD3B2 HSDB3B	3BHS2_HUMAN
Q7L8J4	SH3BP5L KIAA1720 UNQ2766/PRO7133	3BP5L_HUMAN
Q96P26	NT5C1B AIRP FKSG85	5NT1B_HUMAN
P49902	NT5C2 NT5B NT5CP PNT5	5NTC_HUMAN
P21589	NT5E NT5 NTE	5NTD_HUMAN
P52209	PGD PGDH	6PGD_HUMAN
Q5SQ80	ANKRD20A2	A20A2_HUMAN
P01023	A2M CPAMD5 FWP007	A2MG_HUMAN
A7E2S9	ANKRD30BL NCRNA00164	A30BL_HUMAN
P22760	AADAC DAC	AAAD_HUMAN
Q9H7C9	AAMDC C11orf67 PTD015	AAMDC_HUMAN
P54646	PRKAA2 AMPK AMPK2	AAPK2_HUMAN
Q99424	ACOX2	ACOX2_HUMAN
O15254	ACOX3 BRCOX PRCOX	ACOX3_HUMAN
Q96CM8	ACSF2 UNQ493/PRO1009	ACSF2_HUMAN
O95573	ACSL3 ACS3 FACL3 LACS3	ACSL3_HUMAN
Q9H6R3	ACSS3	ACSS3_HUMAN
P60709	ACTB	ACTB_HUMAN
P63261	ACTG1 ACTG	ACTG_HUMAN
Q8TC94	ACTL9 ACTL7C HSD21	ACTL9_HUMAN
P42025	ACTR1B CTRN2	ACTY_HUMAN
P31946	YWHAB	1433B_HUMAN
P31947	SFN HME1	1433S_HUMAN
P04439	HLA-A HLAA	1A03_HUMAN
Q96QU6	ACCS PHACS	1A1L1_HUMAN
P30447	HLA-A HLAA	1A23_HUMAN
P05534	HLA-A HLAA	1A24_HUMAN
P16188	HLA-A HLAA	1A30_HUMAN
P11171	EPB41 E41P	41_HUMAN
Q5T5F5	ADAMTSL4-AS1 C1orf138	A4AS1_HUMAN
Q9NRG9	AAAS ADRACALA GL003	AAAS_HUMAN
Q86V21	AACS ACSF1	AACS_HUMAN
Q9Y478	PRKAB1 AMPK	AAKB1_HUMAN
Q9UGI9	PRKAG3 AMPKG3	AAKG3_HUMAN
Q4LEZ3	AARD C8orf85	AARD_HUMAN
Q9UH17	APOBEC3B	ABC3B_HUMAN
Q8IUX4	APOBEC3F	ABC3F_HUMAN
Q8N139	ABCA6	ABCA6_HUMAN
O75027	ABCB7 ABC7	ABCB7_HUMAN
O60706	ABCC9 SUR2	ABCC9_HUMAN
Q8WTS1	ABHD5 NCIE2 CGI-58	ABHD5_HUMAN
Q6H8Q1	ABLIM2 KIAA1808	ABLM2_HUMAN
Q12979	ABR	ABR_HUMAN
P16219	ACADS	ACADS_HUMAN
Q96P50	ACAP3 CENTB5 KIAA1716	ACAP3_HUMAN
O00400	SLC33A1 ACATN AT1	ACATN_HUMAN
Q9BR61	ACBD6	ACBD6_HUMAN
Q8N6N7	ACBD7	ACBD7_HUMAN
Q3MIX3	ADCK5	ADCK5_HUMAN
Q08462	ADCY2 KIAA1060	ADCY2_HUMAN
P35612	ADD2 ADDB	ADDB_HUMAN
P02750	LRG1 LRG	A2GL_HUMAN
A8K2U0	A2ML1 CPAMD9	A2ML1_HUMAN
Q9UNA3	A4GNT	A4GCT_HUMAN
O95477	ABCA1 ABC1 CERP	ABCA1_HUMAN
Q8WWZ7	ABCA5 KIAA1888	ABCA5_HUMAN
P45844	ABCG1 ABC8 WHT1	ABCG1_HUMAN
Q9UNQ0	ABCG2 ABCP BCRP BCRP1 MXR	ABCG2_HUMAN
Q9H221	ABCG8	ABCG8_HUMAN
Q8N2K0	ABHD12 C20orf22	ABD12_HUMAN
Q9BUJ0	ABHD14A UNQ1913/PRO4373	ABHEA_HUMAN
O14639	ABLIM1 ABLIM KIAA0059 LIMAB1	ABLM1_HUMAN
O94929	ABLIM3 KIAA0843 HMFN1661	ABLM3_HUMAN
Q9BYF1	ACE2 UNQ868/PRO1885	ACE2_HUMAN
Q16570	ACKR1 DARC FY GPD	ACKR1_HUMAN
Q9NPB9	ACKR4 CCBP2 CCR11 CCRL1 VSHK1	ACKR4_HUMAN
Q8N1Q8	THEM5 ACOT15	ACO15_HUMAN
P21399	ACO1 IREB1	ACOC_HUMAN
Q99798	ACO2	ACON_HUMAN
Q86TX2	ACOT1 CTE1	ACOT1_HUMAN
Q4G176	ACSF3 PSEC0197	ACSF3_HUMAN
P62258	YWHAE	1433E_HUMAN
P27348	YWHAQ	1433T_HUMAN
P18462	HLA-A HLAA	1A25_HUMAN
P30512	HLA-A HLAA	1A29_HUMAN
Q15173	PPP2R5B	2A5B_HUMAN
Q66LE6	PPP2R2D KIAA1541	2ABD_HUMAN
Q9TQE0	HLA-DRB1	2B19_HUMAN
Q9GIY3	HLA-DRB1	2B1E_HUMAN
P78314	SH3BP2 3BP2 RES4-23	3BP2_HUMAN
Q13541	EIF4EBP1	4EBP1_HUMAN
O60516	EIF4EBP3	4EBP3_HUMAN
Q9P1F3	ABRACL C6orf115 HSPC280 PRO2013	ABRAL_HUMAN
Q15027	ACAP1 CENTB1 KIAA0050	ACAP1_HUMAN
Q15057	ACAP2 CENTB2 KIAA0041	ACAP2_HUMAN
Q5FVE4	ACSBG2 BGR UNQ2443/PRO5005	ACBG2_HUMAN
P32297	CHRNA3 NACHRA3	ACHA3_HUMAN
P11230	CHRNB1 ACHRB CHRNB	ACHB_HUMAN
Q07001	CHRND ACHRD	ACHD_HUMAN
P07510	CHRNG ACHRG	ACHG_HUMAN
Q9UKV3	ACIN1 ACINUS KIAA0670	ACINU_HUMAN
Q07912	TNK2 ACK1	ACK1_HUMAN
O00590	ACKR2 CCBP2 CCR10 CMKBR9 D6	ACKR2_HUMAN
P25106	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	ACKR3_HUMAN
Q5JWF8	ACTL10 C20orf134	ACL10_HUMAN
P08912	CHRM5	ACM5_HUMAN
Q8N9L9	ACOT4 PTE2B PTEIB	ACOT4_HUMAN
Q9Y305	ACOT9 CGI-16	ACOT9_HUMAN
Q15067	ACOX1 ACOX	ACOX1_HUMAN
Q6ZNF0	ACP7 PAPL PAPL1	ACP7_HUMAN
P16190	HLA-A HLAA	1A33_HUMAN
P30456	HLA-A HLAA	1A43_HUMAN
P10316	HLA-A HLAA	1A69_HUMAN
Q15172	PPP2R5A	2A5A_HUMAN
Q00005	PPP2R2B	2ABB_HUMAN
P04229	HLA-DRB1	2B11_HUMAN
P13761	HLA-DRB1	2B17_HUMAN
Q30167	HLA-DRB1	2B1A_HUMAN
Q9Y3L3	SH3BP1	3BP1_HUMAN
P46952	HAAO	3HAO_HUMAN
P29372	MPG AAG ANPG MID1	3MG_HUMAN
Q13542	EIF4EBP2	4EBP2_HUMAN
P08195	SLC3A2 MDU1	4F2_HUMAN
P30939	HTR1F HTR1EL	5HT1F_HUMAN
P50406	HTR6	5HT6R_HUMAN
Q676U5	ATG16L1 APG16L UNQ9393/PRO34307	A16L1_HUMAN
P19652	ORM2 AGP2	A1AG2_HUMAN
P01009	SERPINA1 AAT PI PRO0684 PRO2209	A1AT_HUMAN
Q4UJ75	ANKRD20A4	A20A4_HUMAN
P01011	SERPINA3 AACT GIG24 GIG25	AACT_HUMAN
Q13085	ACACA ACAC ACC1 ACCA	ACACA_HUMAN
Q9UKU7	ACAD8 ARC42 IBD	ACAD8_HUMAN
P45954	ACADSB	ACDSB_HUMAN
Q04917	YWHAH YWHA1	1433F_HUMAN
P61981	YWHAG	1433G_HUMAN
P16189	HLA-A HLAA	1A31_HUMAN
P30455	HLA-A HLAA	1A36_HUMAN
Q09160	HLA-A HLAA	1A80_HUMAN
P30685	HLA-B HLAB	1B35_HUMAN
P30475	HLA-B HLAB	1B39_HUMAN
P30479	HLA-B HLAB	1B41_HUMAN
P30480	HLA-B HLAB	1B42_HUMAN
P30481	HLA-B HLAB	1B44_HUMAN
P30495	HLA-B HLAB	1B56_HUMAN
P18465	HLA-B HLAB	1B57_HUMAN
P10319	HLA-B HLAB	1B58_HUMAN
Q31612	HLA-B HLAB	1B73_HUMAN
Q29718	HLA-B HLAB	1B82_HUMAN
P30499	HLA-C HLAC	1C01_HUMAN
P30501	HLA-C HLAC	1C02_HUMAN
P04222	HLA-C HLAC	1C03_HUMAN
P30510	HLA-C HLAC	1C14_HUMAN
Q07000	HLA-C HLAC	1C15_HUMAN
Q29865	HLA-C HLAC	1C18_HUMAN
Q14738	PPP2R5D	2A5D_HUMAN
P30153	PPP2R1A	2AAA_HUMAN
Q9H2F3	HSD3B7	3BHS7_HUMAN
O60239	SH3BP5 SAB	3BP5_HUMAN
P31937	HIBADH	3HIDH_HUMAN
P28222	HTR1B HTR1DB	5HT1B_HUMAN
P46098	HTR3A 5HT3R HTR3	5HT3A_HUMAN
A5X5Y0	HTR3E	5HT3E_HUMAN
Q13639	HTR4	5HT4R_HUMAN
P34969	HTR7	5HT7R_HUMAN
Q9BXI3	NT5C1A	5NT1A_HUMAN
O95336	PGLS	6PGL_HUMAN
P0DMS8	ADORA3	AA3R_HUMAN
Q7RTV5	AAED1 C9orf21	AAED1_HUMAN
Q9NUT2	ABCB8 MABC1	ABCB8_HUMAN
Q9NP78	ABCB9 KIAA1520	ABCB9_HUMAN
Q9UBJ2	ABCD2 ALD1 ALDL1 ALDR ALDRP	ABCD2_HUMAN
P28288	ABCD3 PMP70 PXMP1	ABCD3_HUMAN
Q9UG63	ABCF2 HUSSY-18	ABCF2_HUMAN
Q0P651	ABHD18 C4orf29	ABD18_HUMAN
Q96SE0	ABHD1 LABH1	ABHD1_HUMAN
Q8WU67	ABHD3	ABHD3_HUMAN
Q8IZP0	ABI1 SSH3BP1	ABI1_HUMAN
Q9P2A4	ABI3 NESH	ABI3_HUMAN
P42684	ABL2 ABLL ARG	ABL2_HUMAN
Q969K4	ABTB1 BPOZ PP2259	ABTB1_HUMAN
P08908	HTR1A ADRB2RL1 ADRBRL1	5HT1A_HUMAN
P28335	HTR2C HTR1C	5HT2C_HUMAN
O95264	HTR3B	5HT3B_HUMAN
Q8WXA8	HTR3C	5HT3C_HUMAN
Q70Z44	HTR3D	5HT3D_HUMAN
P56378	MP68 C14orf2 PRO1574	68MP_HUMAN
P05408	SCG5 SGNE1	7B2_HUMAN
P0DKL9	ARL14EPL	A14EL_HUMAN
Q5VUR7	ANKRD20A3	A20A3_HUMAN
Q4W5N1	ABCA11P ABCA11	ABCAB_HUMAN
Q86UQ4	ABCA13	ABCAD_HUMAN
Q2M3G0	ABCB5	ABCB5_HUMAN
Q9NP58	ABCB6 MTABC3 PRP UMAT	ABCB6_HUMAN
Q9NRK6	ABCB10	ABCBA_HUMAN
O95342	ABCB11 BSEP	ABCBB_HUMAN
Q09428	ABCC8 HRINS SUR SUR1	ABCC8_HUMAN
Q9NSE7	ABCC13 C21orf73 PRED6	ABCCD_HUMAN
P33897	ABCD1 ALD	ABCD1_HUMAN
P61221	ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40	ABCE1_HUMAN
Q9H172	ABCG4 WHITE2	ABCG4_HUMAN
Q9H222	ABCG5	ABCG5_HUMAN
P41238	APOBEC1	ABEC1_HUMAN
Q6UXT9	ABHD15 UNQ6510/PRO21435	ABH15_HUMAN
Q8TB40	ABHD4	ABHD4_HUMAN
Q9BV23	ABHD6	ABHD6_HUMAN
Q96I13	ABHD8	ABHD8_HUMAN
Q7L211	ABHD13 C13orf6	ABHDD_HUMAN
P00519	ABL1 ABL JTK7	ABL1_HUMAN
Q9ULW3	ABT1	ABT1_HUMAN
Q8N961	ABTB2	ABTB2_HUMAN
P28330	ACADL	ACADL_HUMAN
P11310	ACADM	ACADM_HUMAN
P28221	HTR1D HTR1DA HTRL	5HT1D_HUMAN
P41595	HTR2B	5HT2B_HUMAN
Q969T7	NT5C3B NT5C3L	5NT3B_HUMAN
P36639	NUDT1 MTH1	8ODP_HUMAN
Q8IZ83	ALDH16A1	A16A1_HUMAN
P20848	SERPINA2 ARGS ATR PIL SERPINA2P	A1ATR_HUMAN
P04217	A1BG	A1BG_HUMAN
Q9NQ94	A1CF ACF ASP	A1CF_HUMAN
Q5TYW2	ANKRD20A1 ANKRD20A	A20A1_HUMAN
P08697	SERPINF2 AAP PLI	A2AP_HUMAN
Q96GX2	ATXN7L3B	A7L3B_HUMAN
Q6PD74	AAGAB	AAGAB_HUMAN
Q2M2I8	AAK1 KIAA1048	AAK1_HUMAN
O43741	PRKAB2	AAKB2_HUMAN
P17174	GOT1	AATC_HUMAN
Q96GS6	ABHD17A C19orf27 FAM108A1	AB17A_HUMAN
Q5VST6	ABHD17B C9orf77 FAM108B1 CGI-67	AB17B_HUMAN
Q9BZC7	ABCA2 ABC2 KIAA1062	ABCA2_HUMAN
Q99758	ABCA3 ABC3	ABCA3_HUMAN
P78363	ABCA4 ABCR	ABCA4_HUMAN
O94911	ABCA8 KIAA0822	ABCA8_HUMAN
Q8WWZ4	ABCA10	ABCAA_HUMAN
Q8WW27	APOBEC4 C1orf169	ABEC4_HUMAN
Q15822	CHRNA2	ACHA2_HUMAN
P43681	CHRNA4 NACRA4	ACHA4_HUMAN
Q15825	CHRNA6	ACHA6_HUMAN
Q9UGM1	CHRNA9 NACHRA9	ACHA9_HUMAN
P53396	ACLY	ACLY_HUMAN
P11229	CHRM1	ACM1_HUMAN
P63104	YWHAZ	1433Z_HUMAN
P30443	HLA-A HLAA	1A01_HUMAN
P01892	HLA-A HLAA	1A02_HUMAN
P13746	HLA-A HLAA	1A11_HUMAN
Q4AC99	ACCSL	1A1L2_HUMAN
P30450	HLA-A HLAA	1A26_HUMAN
P30460	HLA-B HLAB	1B08_HUMAN
P30462	HLA-B HLAB	1B14_HUMAN
P30466	HLA-B HLAB	1B18_HUMAN
P30484	HLA-B HLAB	1B46_HUMAN
P30485	HLA-B HLAB	1B47_HUMAN
P30486	HLA-B HLAB	1B48_HUMAN
P30488	HLA-B HLAB	1B50_HUMAN
P18464	HLA-B HLAB	1B51_HUMAN
P30492	HLA-B HLAB	1B54_HUMAN
P30493	HLA-B HLAB CDABP0067	1B55_HUMAN
Q29940	HLA-B HLAB	1B59_HUMAN
Q29836	HLA-B HLAB	1B67_HUMAN
P30498	HLA-B HLAB	1B78_HUMAN
Q31610	HLA-B HLAB	1B81_HUMAN
P30504	HLA-C HLAC	1C04_HUMAN
Q29963	HLA-C HLAC	1C06_HUMAN
P10321	HLA-C HLAC	1C07_HUMAN
P30505	HLA-C HLAC	1C08_HUMAN
Q29960	HLA-C HLAC	1C16_HUMAN
Q13362	PPP2R5C KIAA0044	2A5G_HUMAN
P30154	PPP2R1B	2AAB_HUMAN
P63151	PPP2R2A	2ABA_HUMAN
Q9Y2T4	PPP2R2C	2ABG_HUMAN
P20039	HLA-DRB1	2B1B_HUMAN
P01911	HLA-DRB1 HLA-DRB2	2B1F_HUMAN
Q9NRA8	EIF4ENIF1	4ET_HUMAN
Q8NAA4	ATG16L2 WDR80	A16L2_HUMAN
Q8NF67	ANKRD20A12P	A2012_HUMAN
Q96IX9	ANKRD36BP1 ANKRD26L1	A26L1_HUMAN
Q9NPC4	A4GALT A14GALT A4GALT1	A4GAT_HUMAN
Q15758	SLC1A5 ASCT2 M7V1 RDR RDRC	AAAT_HUMAN
Q9BTE6	AARSD1	AASD1_HUMAN
Q9NY61	AATF CHE1 DED HSPC277	AATF_HUMAN
Q6PCB6	ABHD17C FAM108C1	AB17C_HUMAN
Q96AK3	APOBEC3D	ABC3D_HUMAN
Q6JQN1	ACAD10	ACD10_HUMAN
Q709F0	ACAD11	ACD11_HUMAN
Q9GZZ6	CHRNA10 NACHRA10	ACH10_HUMAN
P30532	CHRNA5 NACHRA5	ACHA5_HUMAN
P36544	CHRNA7 NACHRA7	ACHA7_HUMAN
Q04844	CHRNE ACHRE	ACHE_HUMAN
O96019	ACTL6A BAF53 BAF53A INO80K	ACL6A_HUMAN
Q9Y614	ACTL7B	ACL7B_HUMAN
Q9NPJ3	ACOT13 THEM2 HT012 PNAS-27	ACO13_HUMAN
P13798	APEH D3F15S2 D3S48E DNF15S2	ACPH_HUMAN
Q9BYX7	POTEKP ACTBL3 FKSG30	ACTBM_HUMAN
P36896	ACVR1B ACVRLK4 ALK4	ACV1B_HUMAN
O14672	ADAM10 KUZ MADM	ADA10_HUMAN
P25100	ADRA1D ADRA1A	ADA1D_HUMAN
Q9UKJ8	ADAM21	ADA21_HUMAN
Q9P0K1	ADAM22 MDC2	ADA22_HUMAN
O75077	ADAM23 MDC3	ADA23_HUMAN
Q9UKQ2	ADAM28 ADAM23 MDCL	ADA28_HUMAN
Q9UKF5	ADAM29	ADA29_HUMAN
P18089	ADRA2B ADRA2L1 ADRA2RL1	ADA2B_HUMAN
P18825	ADRA2C ADRA2L2 ADRA2RL2	ADA2C_HUMAN
Q8NCV1	ADAD2 TENRL	ADAD2_HUMAN
Q9BUB4	ADAT1	ADAT1_HUMAN
Q7Z695	ADCK2 AARF	ADCK2_HUMAN
O15204	ADAMDEC1	ADEC1_HUMAN
Q9BRR6	ADPGK PSEC0260	ADPGK_HUMAN
P22570	FDXR ADXR	ADRO_HUMAN
Q5I7T1	ALG10B KCR1	AG10B_HUMAN
Q96P47	AGAP3 CENTG3	AGAP3_HUMAN
P52594	AGFG1 HRB RAB RIP	AGFG1_HUMAN
Q9HCK5	AGO4 EIF2C4 KIAA1567	AGO4_HUMAN
Q8IWK6	ADGRA3 GPR125 UNQ556/PRO1113	AGRA3_HUMAN
A9YTQ3	AHRR BHLHE77 KIAA1234	AHRR_HUMAN
O95433	AHSA1 C14orf3 HSPC322	AHSA1_HUMAN
P55008	AIF1 G1 IBA1	AIF1_HUMAN
Q9Y4K1	AIM1 CRYBG1	AIM1_HUMAN
P51857	AKR1D1 SRD5B1	AK1D1_HUMAN
O43572	AKAP10	AKA10_HUMAN
Q92667	AKAP1 AKAP149 PRKA1	AKAP1_HUMAN
Q5JQC9	AKAP4 AKAP82	AKAP4_HUMAN
P24588	AKAP5 AKAP79	AKAP5_HUMAN
O43823	AKAP8 AKAP95	AKAP8_HUMAN
Q495B1	ANKDD1A	AKD1A_HUMAN
P31751	AKT2	AKT2_HUMAN
Q96B36	AKT1S1 PRAS40	AKTS1_HUMAN
Q96Q35	ALS2CR12	AL2SB_HUMAN
P20292	ALOX5AP FLAP	AL5AP_HUMAN
P08173	CHRM4	ACM4_HUMAN
Q8TDX5	ACMSD	ACMSD_HUMAN
Q8WXI4	ACOT11 BFIT KIAA0707 THEA	ACO11_HUMAN
O14561	NDUFAB1	ACPM_HUMAN
Q08AH3	ACSM2A ACSM2 MACS2	ACS2A_HUMAN
Q9NR19	ACSS2 ACAS2	ACSA_HUMAN
Q9UKU0	ACSL6 ACS2 FACL6 KIAA0837 LACS5	ACSL6_HUMAN
Q08AH1	ACSM1 BUCS1 LAE MACS1	ACSM1_HUMAN
Q6NUN0	ACSM5 MACS3	ACSM5_HUMAN
Q562R1	ACTBL2	ACTBL_HUMAN
Q01718	MC2R ACTHR	ACTHR_HUMAN
Q9H568	ACTL8	ACTL8_HUMAN
P35609	ACTN2	ACTN2_HUMAN
Q8TDG2	ACTRT1 ARPT1 HSD27	ACTT1_HUMAN
P61163	ACTR1A CTRN1	ACTZ_HUMAN
Q8NER5	ACVR1C ALK7	ACV1C_HUMAN
Q04771	ACVR1 ACVRLK2	ACVR1_HUMAN
Q03154	ACY1	ACY1_HUMAN
P45381	ASPA ACY2 ASP	ACY2_HUMAN
P78536	ADAM17 CSVP TACE	ADA17_HUMAN
P35348	ADRA1A ADRA1C	ADA1A_HUMAN
Q9BZ11	ADAM33 C20orf153 UNQ873/PRO1891	ADA33_HUMAN
O75689	ADAP1 CENTA1	ADAP1_HUMAN
P40394	ADH7	ADH7_HUMAN
C9J202	ALG1L2	AG1L2_HUMAN
Q8TF27	AGAP11 KIAA1975	AGA11_HUMAN
O95394	PGM3 AGM1	AGM1_HUMAN
Q86SQ6	ADGRA1 GPR123 KIAA1828	AGRA1_HUMAN
O60242	ADGRB3 BAI3 KIAA0550	AGRB3_HUMAN
Q9BY15	ADGRE3 EMR3 UNQ683/PRO1562	AGRE3_HUMAN
Q5T601	ADGRF1 GPR110 PGR19	AGRF1_HUMAN
Q86Y34	ADGRG3 GPR97 PGR26	AGRG3_HUMAN
Q9HAR2	ADGRL3 KIAA0768 LEC3 LPHN3	AGRL3_HUMAN
O00253	AGRP AGRT ART	AGRP_HUMAN
Q8N157	AHI1	AHI1_HUMAN
Q9GZX7	AICDA AID	AICDA_HUMAN
Q9NVV5	AIG1 CGI-103	AIG1_HUMAN
Q9NWT8	AURKAIP1 AIP AKIP MRPS38	AKIP_HUMAN
Q7Z591	AKNA KIAA1968	AKNA_HUMAN
Q8TD30	GPT2 AAT2 ALT2	ALAT2_HUMAN
Q9Y672	ALG6 My046	ALG6_HUMAN
Q9H6U8	ALG9 DIBD1	ALG9_HUMAN
Q9Y312	AAR2 C20orf4 CGI-23 PRO0225	AAR2_HUMAN
P00505	GOT2	AATM_HUMAN
Q9HC16	APOBEC3G MDS019	ABC3G_HUMAN
Q96J66	ABCC11 MRP8	ABCCB_HUMAN
O14678	ABCD4 PXMP1L	ABCD4_HUMAN
Q8NE71	ABCF1 ABC50	ABCF1_HUMAN
Q9Y235	APOBEC2	ABEC2_HUMAN
Q8NFV4	ABHD11 WBSCR21 PP1226	ABHDB_HUMAN
Q9H3Z7	ABHD16B C20orf135	ABHGB_HUMAN
Q8N0Z2	ABRA	ABRA_HUMAN
Q9H845	ACAD9	ACAD9_HUMAN
P49748	ACADVL VLCAD	ACADV_HUMAN
P07108	DBI	ACBP_HUMAN
O94805	ACTL6B ACTL6 BAF53B	ACL6B_HUMAN
Q9Y615	ACTL7A	ACL7A_HUMAN
P08172	CHRM2	ACM2_HUMAN
P20309	CHRM3	ACM3_HUMAN
Q8WYK0	ACOT12 CACH CACH1 STARD15	ACO12_HUMAN
Q9NUZ1	ACOXL	ACOXL_HUMAN
Q96QF7	ACRC	ACRC_HUMAN
Q4L235	AASDH ACSF4 U26 HSPC318	ACSF4_HUMAN
O60488	ACSL4 ACS4 FACL4 LACS4	ACSL4_HUMAN
Q53FZ2	ACSM3 SAH	ACSM3_HUMAN
P0C7M7	ACSM4	ACSM4_HUMAN
P12814	ACTN1	ACTN1_HUMAN
Q08043	ACTN3	ACTN3_HUMAN
P68133	ACTA1 ACTA	ACTS_HUMAN
P14621	ACYP2 ACYP	ACYP2_HUMAN
Q8TC27	ADAM32 UNQ5982/PRO21340	ADA32_HUMAN
Q96M93	ADAD1 TENR	ADAD1_HUMAN
Q99965	ADAM2 FTNB	ADAM2_HUMAN
Q13443	ADAM9 KIAA0021 MCMP MDC9 MLTNG	ADAM9_HUMAN
Q3LIE5	ADPRM C17orf48 MDS006 Nbla03831	ADPRM_HUMAN
P06280	GLA	AGAL_HUMAN
Q5VUJ5	AGAP7P AGAP7 CTGLF4	AGAP7_HUMAN
Q8TD06	AGR3 BCMP11 PDIA18 UNQ642/PRO1272	AGR3_HUMAN
Q96PE1	ADGRA2 GPR124 KIAA1531 TEM5	AGRA2_HUMAN
Q7Z7M1	ADGRD2 GPR144 PGR24	AGRD2_HUMAN
Q14246	ADGRE1 EMR1 TM7LN3	AGRE1_HUMAN
Q8IZF3	ADGRF4 GPR115 PGR18	AGRF4_HUMAN
Q8IZF2	ADGRF5 GPR116 KIAA0758	AGRF5_HUMAN
Q9Y653	ADGRG1 GPR56 TM7LN4 TM7XN1 UNQ540/PRO1083	AGRG1_HUMAN
Q8IZP9	ADGRG2 GPR64 HE6 TM7LN2	AGRG2_HUMAN
Q8IZF6	ADGRG4 GPR112	AGRG4_HUMAN
Q86SQ4	ADGRG6 DREG GPR126 VIGR	AGRG6_HUMAN
Q9HBW9	ADGRL4 ELTD1 ETL UNQ202/PRO228	AGRL4_HUMAN
Q09666	AHNAK PM227	AHNK_HUMAN
Q719I0	AHSA2	AHSA2_HUMAN
P28566	HTR1E	5HT1E_HUMAN
P28223	HTR2A HTR2	5HT2A_HUMAN
P47898	HTR5A	5HT5A_HUMAN
Q9H0P0	NT5C3A NT5C3 P5N1 UMPH1 HSPC233	5NT3A_HUMAN
P54619	PRKAG1	AAKG1_HUMAN
Q9UGJ0	PRKAG2	AAKG2_HUMAN
Q13685	AAMP	AAMP_HUMAN
Q9NUN7	ACER3 APHC PHCA	ACER3_HUMAN
P12821	ACE DCP DCP1	ACE_HUMAN
O00767	SCD	ACOD_HUMAN
P49753	ACOT2 PTE2 PTE2A	ACOT2_HUMAN
Q3I5F7	ACOT6 C14orf42	ACOT6_HUMAN
O14734	ACOT8 ACTEIII PTE1 PTE2	ACOT8_HUMAN
Q68CK6	ACSM2B ACSM2 HYST1046	ACS2B_HUMAN
P62736	ACTA2 ACTSA ACTVS GIG46	ACTA_HUMAN
P37023	ACVRL1 ACVRLK1 ALK1	ACVL1_HUMAN
Q96HD9	ACY3 ASPA2	ACY3_HUMAN
P07311	ACYP1 ACYPE	ACYP1_HUMAN
P35368	ADRA1B	ADA1B_HUMAN
O43506	ADAM20	ADA20_HUMAN
Q9NPF8	ADAP2 CENTA2	ADAP2_HUMAN
O00116	AGPS AAG5	ADAS_HUMAN
Q7Z6V5	ADAT2 DEADC1	ADAT2_HUMAN
Q08828	ADCY1	ADCY1_HUMAN
P07327	ADH1A ADH1	ADH1A_HUMAN
P08588	ADRB1 ADRB1R B1AR	ADRB1_HUMAN
