Entry	yourlist:M20170210A7434721E10EE6586998A056CCD0537E71EBC78	Involvement in disease	Cross-reference (Orphanet)
Q09428	ABCC8	DISEASE: Leucine-induced hypoglycemia (LIH) [MIM:240800]: Rare cause of hypoglycemia and is described as a condition in which symptomatic hypoglycemia is provoked by high protein feedings. Hypoglycemia is also elicited by administration of oral or intravenous infusions of a single amino acid, leucine. {ECO:0000269|PubMed:15356046}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Familial hyperinsulinemic hypoglycemia 1 (HHF1) [MIM:256450]: Most common cause of persistent hypoglycemia in infancy. Unless early and aggressive intervention is undertaken, brain damage from recurrent episodes of hypoglycemia may occur. {ECO:0000269|PubMed:10202168, ECO:0000269|PubMed:10334322, ECO:0000269|PubMed:12364426, ECO:0000269|PubMed:12941782, ECO:0000269|PubMed:15562009, ECO:0000269|PubMed:15579781, ECO:0000269|PubMed:15807877, ECO:0000269|PubMed:16357843, ECO:0000269|PubMed:16429405, ECO:0000269|PubMed:24814349, ECO:0000269|PubMed:25720052, ECO:0000269|PubMed:8751851, ECO:0000269|PubMed:8923011, ECO:0000269|PubMed:9618169, ECO:0000269|PubMed:9769320}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Diabetes mellitus, permanent neonatal (PNDM) [MIM:606176]: A rare form of diabetes distinct from childhood-onset autoimmune diabetes mellitus type 1. It is characterized by insulin-requiring hyperglycemia that is diagnosed within the first months of life. Permanent neonatal diabetes requires lifelong therapy. {ECO:0000269|PubMed:16613899, ECO:0000269|PubMed:16885549, ECO:0000269|PubMed:17213273, ECO:0000269|PubMed:17668386}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Transient neonatal diabetes mellitus 2 (TNDM2) [MIM:610374]: Neonatal diabetes is a form of diabetes mellitus defined by the onset of mild-to-severe hyperglycemia within the first months of life. Transient neonatal diabetes remits early, with a possible relapse during adolescence. {ECO:0000269|PubMed:16885549}. Note=The disease is caused by mutations affecting the gene represented in this entry.	276575;79643;79134;276598;552;99885;99886;
O60706	ABCC9	DISEASE: Cardiomyopathy, dilated 1O (CMD1O) [MIM:608569]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:15034580}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Atrial fibrillation, familial, 12 (ATFB12) [MIM:614050]: A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure. {ECO:0000269|PubMed:17245405}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Hypertrichotic osteochondrodysplasia (HTOCD) [MIM:239850]: A rare disorder characterized by congenital hypertrichosis, neonatal macrosomia, a distinct osteochondrodysplasia, and cardiomegaly. The hypertrichosis leads to thick scalp hair, which extends onto the forehead, and a general increase in body hair. In addition, macrocephaly and coarse facial features, including a broad nasal bridge, epicanthal folds, a wide mouth, and full lips, can be suggestive of a storage disorder. About half of affected individuals are macrosomic and edematous at birth, whereas in childhood they usually have a muscular appearance with little subcutaneous fat. Thickened calvarium, narrow thorax, wide ribs, flattened or ovoid vertebral bodies, coxa valga, osteopenia, enlarged medullary canals, and metaphyseal widening of long bones have been reported. Cardiac manifestations such as patent ductus arteriosus, ventricular hypertrophy, pulmonary hypertension, and pericardial effusions are present in approximately 80% of cases. Motor development is usually delayed due to hypotonia. Most patients have a mild speech delay, and a small percentage have learning difficulties or intellectual disability. {ECO:0000269|PubMed:22608503, ECO:0000269|PubMed:22610116, ECO:0000269|PubMed:26621776}. Note=The disease is caused by mutations affecting the gene represented in this entry.	965;334;154;966;1517;
P33897	ABCD1	DISEASE: Adrenoleukodystrophy (ALD) [MIM:300100]: A peroxisomal metabolic disorder characterized by progressive multifocal demyelination of the central nervous system and by peripheral adrenal insufficiency (Addison disease). It results in mental deterioration, corticospinal tract dysfunction, and cortical blindness. Different clinical manifestations exist like: cerebral childhood ALD (CALD), adult cerebral ALD (ACALD), adrenomyeloneuropathy (AMN) and 'Addison disease only' (ADO) phenotype. {ECO:0000269|PubMed:10369742, ECO:0000269|PubMed:10480364, ECO:0000269|PubMed:10737980, ECO:0000269|PubMed:10980539, ECO:0000269|PubMed:11438993, ECO:0000269|PubMed:11810273, ECO:0000269|PubMed:15643618, ECO:0000269|PubMed:21700483, ECO:0000269|PubMed:21889498, ECO:0000269|PubMed:23651979, ECO:0000269|PubMed:26686776, ECO:0000269|PubMed:7581394, ECO:0000269|PubMed:7717396, ECO:0000269|PubMed:7825602, ECO:0000269|PubMed:7849723, ECO:0000269|PubMed:7904210, ECO:0000269|PubMed:8040304, ECO:0000269|PubMed:8566952, ECO:0000269|PubMed:8651290, ECO:0000269|PubMed:9452087}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Note=The promoter region of ABCD1 is deleted in the chromosome Xq28 deletion syndrome which involves ABCD1 and the neighboring gene BCAP31. {ECO:0000269|PubMed:11992258}.	139399;369942;139396;
Q9UBJ2	ABCD2		
P28288	ABCD3	DISEASE: Congenital bile acid synthesis defect 5 (CBAS5) [MIM:616278]: An autosomal recessive disorder characterized by hepatosplenomegaly, hepatic fibrosis, progressive liver failure, and accumulation of peroxisomal C27-bile acid intermediates in plasma. {ECO:0000269|PubMed:25168382}. Note=The disease is caused by mutations affecting the gene represented in this entry.	
O14678	ABCD4	DISEASE: Methylmalonic aciduria and homocystinuria type cblJ (MAHCJ) [MIM:614857]: A disorder of cobalamin metabolism characterized by decreased levels of the coenzymes adenosylcobalamin (AdoCbl) and methylcobalamin (MeCbl). Clinical features include feeding difficulties, poor growth, hypotonia, lethargy, anemia, and developmental delay. {ECO:0000269|PubMed:22922874}. Note=The disease is caused by mutations affecting the gene represented in this entry.	369955;
P61221	ABCE1		
Q8NE71	ABCF1		
Q9UG63	ABCF2		
Q9NUQ8	ABCF3		
P45844	ABCG1		
Q9UNQ0	ABCG2		
Q9H172	ABCG4		
Q9H222	ABCG5	DISEASE: Sitosterolemia (STSL) [MIM:210250]: Rare autosomal recessive disorder characterized by increased intestinal absorption of all sterols including cholesterol, plant and shellfish sterols, and decreased biliary excretion of dietary sterols into bile. Sitosterolemia patients have hypercholesterolemia, very high levels of plant sterols in the plasma, and frequently develop tendon and tuberous xanthomas, accelerated atherosclerosis and premature coronary artery disease. {ECO:0000269|PubMed:11138003, ECO:0000269|PubMed:11452359, ECO:0000269|PubMed:11668628}. Note=The disease is caused by mutations affecting the gene represented in this entry.	2882;
Q9H221	ABCG8	DISEASE: Gallbladder disease 4 (GBD4) [MIM:611465]: One of the major digestive diseases. Gallstones composed of cholesterol (cholelithiasis) are the common manifestations in western countries. Most people with gallstones, however, remain asymptomatic through their lifetimes. {ECO:0000269|PubMed:17632509}. Note=Disease susceptibility may be associated with variations affecting the gene represented in this entry.; DISEASE: Sitosterolemia (STSL) [MIM:210250]: Rare autosomal recessive disorder characterized by increased intestinal absorption of all sterols including cholesterol, plant and shellfish sterols, and decreased biliary excretion of dietary sterols into bile. Sitosterolemia patients have hypercholesterolemia, very high levels of plant sterols in the plasma, and frequently develop tendon and tuberous xanthomas, accelerated atherosclerosis and premature coronary artery disease. {ECO:0000269|PubMed:11099417, ECO:0000269|PubMed:11452359}. Note=The disease is caused by mutations affecting the gene represented in this entry.	2882;
Q96SE0	ABHD1		
Q9NUJ1	ABHD10		
Q8N2K0	ABHD12	DISEASE: Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract (PHARC) [MIM:612674]: A slowly progressive neurologic disorder with a variable phenotype resembling Refsum disease. Clinical features include sensorineural hearing loss, visual problems related to cataracts, retinitis pigmentosa, pes cavus, ataxic and/or spastic gait disturbances with a progressive sensorimotor peripheral neuropathy. Other features include hyporeflexia, hyperreflexia, extensor plantar responses. {ECO:0000269|PubMed:20797687, ECO:0000269|PubMed:22938382, ECO:0000269|PubMed:24027063}. Note=The disease is caused by mutations affecting the gene represented in this entry.	171848;
Q7L211	ABHD13		
Q9BUJ0	ABHD14A		
Q96IU4	ABHD14B		
