Entry	Entry_name	Gene_names
A5D6V9	A5D6V9_HUMAN	CDH23
A5D6Y3	A5D6Y3_HUMAN	RAD50
A5D8Z4	A5D8Z4_HUMAN	WNK1
A5JJ20	A5JJ20_HUMAN	SLC4A4
A5JSJ9	A5JSJ9_HUMAN	CLDN1
A5PL27	A5PL27_HUMAN	CP
A5PLM0	A5PLM0_HUMAN	TK2
A5X2V1	A5X2V1_HUMAN	SCNN1G
A5YM40	A5YM40_HUMAN	TGFB3
A5YM48	A5YM48_HUMAN	MYBPC3
A5YRU5	A5YRU5_HUMAN	MUC1
A5YRU7	A5YRU7_HUMAN	MUC1
A5YRV0	A5YRV0_HUMAN	MUC1
A5YRV2	A5YRV2_HUMAN	MUC1
A6H8L5	A6H8L5_HUMAN	LIPC
A6NCB9	A6NCB9_HUMAN	EYA1
A6NCS4	NKX26_HUMAN	NKX2-6
A6NEM2	A6NEM2_HUMAN	HCFC1
A6NF31	A6NF31_HUMAN	OFD1
A6NFI1	A6NFI1_HUMAN	SLC35A2
A6NFY7	SDHF1_HUMAN	SDHAF1
A6NGG8	CB071_HUMAN	C2orf71
A6NHR9	SMHD1_HUMAN	SMCHD1
Q8IWN7	RP1L1_HUMAN	RP1L1
A6NKM8	A6NKM8_HUMAN	SLC35A2
A6NMQ1	A6NMQ1_HUMAN	POLA1
A6NNB3	IFM5_HUMAN	IFITM5
A6XNE1	A6XNE1_HUMAN	
A6ZID6	A6ZID6_HUMAN	MUC1
A6ZID7	A6ZID7_HUMAN	MUC1
A6ZIE4	A6ZIE4_HUMAN	MUC1
A6ZIE6	A6ZIE6_HUMAN	MUC1
A7E212	A7E212_HUMAN	DMD
A7E234	A7E234_HUMAN	ZNF644
A7E294	A7E294_HUMAN	
A7E2E1	A7E2E1_HUMAN	SMARCA4
A7E2E4	A7E2E4_HUMAN	DPP6
A7LFK2	A7LFK2_HUMAN	KCNE1
A7LFK4	A7LFK4_HUMAN	KCNE1
A7MBN3	A7MBN3_HUMAN	COL4A5
A7REI1	A7REI1_HUMAN	
A7UKX7	A7UKX7_HUMAN	mdm2
A7UKX8	A7UKX8_HUMAN	MDM2
A7UKX9	A7UKX9_HUMAN	mdm2
A7WPU8	A7WPU8_HUMAN	SRY
A7XYQ1	SOBP_HUMAN	SOBP
A7XZE4	A7XZE4_HUMAN	TPM2b
A7YF73	A7YF73_HUMAN	TSHZ1
A8CDT9	A8CDT9_HUMAN	
A8JZZ8	A8JZZ8_HUMAN	
A8K0B6	A8K0B6_HUMAN	
A8K0H7	A8K0H7_HUMAN	
A8K0S7	A8K0S7_HUMAN	
A8K118	A8K118_HUMAN	
A8K1C7	A8K1C7_HUMAN	
A8K1G1	A8K1G1_HUMAN	
A8K1Y9	A8K1Y9_HUMAN	GNAL
A8K1Z4	A8K1Z4_HUMAN	
A8K259	A8K259_HUMAN	
A8K2E6	A8K2E6_HUMAN	HPS4
A8K2J6	A8K2J6_HUMAN	
A8K2T9	A8K2T9_HUMAN	
A8K340	A8K340_HUMAN	DCX
A8K364	A8K364_HUMAN	
A8K3L0	A8K3L0_HUMAN	
A8K3N4	A8K3N4_HUMAN	PTPN2
A8K3T2	A8K3T2_HUMAN	
A8K401	A8K401_HUMAN	PHB
A8K432	A8K432_HUMAN	
A8K460	A8K460_HUMAN	
A8K466	A8K466_HUMAN	HFE2
A8K4A0	A8K4A0_HUMAN	
A8K4H5	A8K4H5_HUMAN	
A8K4I1	A8K4I1_HUMAN	
A8K4R4	A8K4R4_HUMAN	
A8K4S1	A8K4S1_HUMAN	
A8K5J1	A8K5J1_HUMAN	UMPS
A8K5S1	A8K5S1_HUMAN	
A8K5V0	A8K5V0_HUMAN	
A8K5W4	A8K5W4_HUMAN	
A8K6A7	A8K6A7_HUMAN	
A8K6H6	A8K6H6_HUMAN	
A8K6W3	A8K6W3_HUMAN	
A8K735	A8K735_HUMAN	
A8K7F2	A8K7F2_HUMAN	
A8K7G6	A8K7G6_HUMAN	
A8K7H4	A8K7H4_HUMAN	
A8K7J7	A8K7J7_HUMAN	
A8K7T1	A8K7T1_HUMAN	
A8K840	A8K840_HUMAN	
A8K881	A8K881_HUMAN	IFNGR2
A8K8F9	A8K8F9_HUMAN	
A8K8H0	A8K8H0_HUMAN	
A8K8N1	A8K8N1_HUMAN	
A8K8P1	A8K8P1_HUMAN	
A8K996	A8K996_HUMAN	
A8K9L3	A8K9L3_HUMAN	PLP1
A8KA77	A8KA77_HUMAN	
A8KAB1	A8KAB1_HUMAN	
A8KAC4	A8KAC4_HUMAN	
A8KAE3	A8KAE3_HUMAN	
A8MTV0	A8MTV0_HUMAN	PIGL
A8MTX4	A8MTX4_HUMAN	B9D1
A8MUP8	A8MUP8_HUMAN	RARA
A8MW19	A8MW19_HUMAN	TSPEAR
A8MW34	A8MW34_HUMAN	
A8MXD5	GRCR1_HUMAN	GRXCR1
A8MYS5	A8MYS5_HUMAN	PGAP2
A8VPY0	A8VPY0_HUMAN	
A8YXX4	A8YXX4_HUMAN	PIG59
A9XTE5	A9XTE5_HUMAN	
B0AZS5	B0AZS5_HUMAN	
B0LPE5	B0LPE5_HUMAN	AKT1
B0YIY4	B0YIY4_HUMAN	CD3D
B0YIY5	B0YIY5_HUMAN	CD3G
B0YJ76	B0YJ76_HUMAN	DYR
B0YJ88	B0YJ88_HUMAN	RDX
B0YJ93	B0YJ93_HUMAN	SCN4B
B0ZBD0	B0ZBD0_HUMAN	RPS19
B0ZBE2	B0ZBE2_HUMAN	AGT
B0ZBF6	B0ZBF6_HUMAN	NR3C2
B1A4G6	B1A4G6_HUMAN	GH1
B1A4G7	B1A4G7_HUMAN	GH1
B1AH95	B1AH95_HUMAN	APOL1
B1AK53	ESPN_HUMAN	ESPN
B1AK66	B1AK66_HUMAN	SNIP1
B1ALF6	B1ALF6_HUMAN	SMARCA2
B1ALM3	B1ALM3_HUMAN	CACNA1S
B1AMR3	B1AMR3_HUMAN	ARHGEF9
B1AN62	B1AN62_HUMAN	NMNAT1
B1B0D4	B1B0D4_HUMAN	ADAMTSL2
B1P7G3	B1P7G3_HUMAN	ISCU
B2CW77	KILIN_HUMAN	KLLN
B2KYM6	B2KYM6_HUMAN	TRPV3
B2R491	B2R491_HUMAN	RPS4X
B2R4C5	B2R4C5_HUMAN	LYZ
B2R5S1	B2R5S1_HUMAN	
B2R5T5	B2R5T5_HUMAN	PRKAR1A
B2R5V0	B2R5V0_HUMAN	
B2R643	B2R643_HUMAN	
B2R659	B2R659_HUMAN	
B2R6K1	B2R6K1_HUMAN	
B2R6M6	B2R6M6_HUMAN	
B2R761	B2R761_HUMAN	
B2R812	B2R812_HUMAN	SCNN1B
B2R8L3	B2R8L3_HUMAN	
B2R9R2	B2R9R2_HUMAN	
B2R9S6	B2R9S6_HUMAN	
B2RAP9	B2RAP9_HUMAN	
B2RAQ8	B2RAQ8_HUMAN	
B2RAT6	B2RAT6_HUMAN	
B2RB38	B2RB38_HUMAN	
B2RBI8	B2RBI8_HUMAN	
B2RBL3	B2RBL3_HUMAN	
B2RBR4	B2RBR4_HUMAN	
B2RC52	B2RC52_HUMAN	
B2RC63	B2RC63_HUMAN	
B2RCH4	B2RCH4_HUMAN	
B2RCU6	B2RCU6_HUMAN	
B2RCW8	B2RCW8_HUMAN	
B2RCZ7	B2RCZ7_HUMAN	ETHE1
B2RD48	B2RD48_HUMAN	
B2RDU6	B2RDU6_HUMAN	MVK
B2RE76	B2RE76_HUMAN	CHMP2B
B2RMV2	B2RMV2_HUMAN	CYTSA
B2RNB2	B2RNB2_HUMAN	ADAM17
B2RTX6	B2RTX6_HUMAN	COL4A6
B2RU06	B2RU06_HUMAN	EIF4G1
B2RU10	B2RU10_HUMAN	EIF4G1
B2RUU2	B2RUU2_HUMAN	ABCA1
B2RWN8	B2RWN8_HUMAN	MYST4
B2ZZ86	B2ZZ86_HUMAN	COL5A1
B2ZZ90	B2ZZ90_HUMAN	ACACA
B3KM87	B3KM87_HUMAN	MATR3
B3KMG0	B3KMG0_HUMAN	
B3KMK1	B3KMK1_HUMAN	
B3KMT1	B3KMT1_HUMAN	
B3KMX0	B3KMX0_HUMAN	
B3KMX5	B3KMX5_HUMAN	
B3KN30	B3KN30_HUMAN	
B3KN41	B3KN41_HUMAN	
B3KN77	B3KN77_HUMAN	
B3KN91	B3KN91_HUMAN	FTSJ1
B3KNC1	B3KNC1_HUMAN	
B3KNG7	B3KNG7_HUMAN	
B3KNW7	B3KNW7_HUMAN	
B3KNW8	B3KNW8_HUMAN	
B3KP11	B3KP11_HUMAN	
B3KP24	B3KP24_HUMAN	
B3KP53	B3KP53_HUMAN	
B3KP78	B3KP78_HUMAN	
B3KP89	B3KP89_HUMAN	
B3KPA1	B3KPA1_HUMAN	
B3KPA6	B3KPA6_HUMAN	ACADVL
B3KPB8	B3KPB8_HUMAN	
B3KPE2	B3KPE2_HUMAN	
B3KPK7	B3KPK7_HUMAN	
B3KPM6	B3KPM6_HUMAN	
B3KPP3	B3KPP3_HUMAN	
B3KPP5	B3KPP5_HUMAN	
B3KPQ9	B3KPQ9_HUMAN	
B3KPW7	B3KPW7_HUMAN	
B3KQ30	B3KQ30_HUMAN	ISCU
B3KQ84	B3KQ84_HUMAN	
B3KQ87	B3KQ87_HUMAN	
B3KQG4	B3KQG4_HUMAN	
B3KQH0	B3KQH0_HUMAN	SLC35C1
B3KQH8	B3KQH8_HUMAN	
B3KQN7	B3KQN7_HUMAN	
B3KQV4	B3KQV4_HUMAN	
B3KQX9	B3KQX9_HUMAN	
B3KR19	B3KR19_HUMAN	SLC30A10
B3KR97	B3KR97_HUMAN	
B3KRD9	B3KRD9_HUMAN	
B3KRR2	B3KRR2_HUMAN	
B3KRT8	B3KRT8_HUMAN	ELN
B3KRZ3	B3KRZ3_HUMAN	IMPDH
B3KSK2	B3KSK2_HUMAN	
B3KSL8	B3KSL8_HUMAN	TTC8
B3KSN7	B3KSN7_HUMAN	
B3KSQ1	B3KSQ1_HUMAN	
B3KSR6	B3KSR6_HUMAN	
B3KTA9	B3KTA9_HUMAN	
B3KTC3	B3KTC3_HUMAN	
B3KTM0	B3KTM0_HUMAN	
B3KU20	B3KU20_HUMAN	
B3KU60	B3KU60_HUMAN	
B3KU71	B3KU71_HUMAN	PCDH19
B3KUD1	B3KUD1_HUMAN	
B3KUF4	B3KUF4_HUMAN	GATA4
B3KUI5	B3KUI5_HUMAN	
B3KUJ0	B3KUJ0_HUMAN	
B3KUL8	B3KUL8_HUMAN	
B3KV69	B3KV69_HUMAN	
B3KVA4	B3KVA4_HUMAN	
B3KVG3	B3KVG3_HUMAN	
B3KVG6	B3KVG6_HUMAN	
B3KVH4	B3KVH4_HUMAN	
B3KVH9	B3KVH9_HUMAN	
B3KVI2	B3KVI2_HUMAN	
B3KVN4	B3KVN4_HUMAN	
B3KVQ5	B3KVQ5_HUMAN	
B3KVV3	B3KVV3_HUMAN	
B3KW07	B3KW07_HUMAN	
B3KW36	B3KW36_HUMAN	
B3KWA8	B3KWA8_HUMAN	ADCY5
B3KWE1	B3KWE1_HUMAN	HARS
B3KWH4	B3KWH4_HUMAN	
B3KWI2	B3KWI2_HUMAN	
B3KWQ3	B3KWQ3_HUMAN	
B3KX12	B3KX12_HUMAN	
B3KX19	B3KX19_HUMAN	
B3KX39	B3KX39_HUMAN	
B3KX42	B3KX42_HUMAN	
B3KX51	B3KX51_HUMAN	
B3KXA2	B3KXA2_HUMAN	
B3KXP1	B3KXP1_HUMAN	
B3KXR1	B3KXR1_HUMAN	
B3KXY6	B3KXY6_HUMAN	
B3KXY9	B3KXY9_HUMAN	
B3KXZ8	B3KXZ8_HUMAN	
B3KY34	B3KY34_HUMAN	
B3KY40	B3KY40_HUMAN	
B3KY45	B3KY45_HUMAN	
B3SHH9	TM114_HUMAN	TMEM114
B4DDD8	B4DDD8_HUMAN	HARS
B4DDI0	B4DDI0_HUMAN	
B4DDN8	B4DDN8_HUMAN	
B4DDQ8	B4DDQ8_HUMAN	
B4DE15	B4DE15_HUMAN	SLC35A2
B4DE36	B4DE36_HUMAN	
B4DE40	B4DE40_HUMAN	
B4DEQ0	B4DEQ0_HUMAN	
B4DER3	B4DER3_HUMAN	
B4DER6	B4DER6_HUMAN	
B4DF14	B4DF14_HUMAN	
B4DF17	B4DF17_HUMAN	
B4DF66	B4DF66_HUMAN	
B4DFF3	B4DFF3_HUMAN	CLN3
B4DFJ1	B4DFJ1_HUMAN	
B4DG22	B4DG22_HUMAN	
B4DG64	B4DG64_HUMAN	
B4DG79	B4DG79_HUMAN	
B4DGD0	B4DGD0_HUMAN	
B4DGD7	B4DGD7_HUMAN	
B4DGH1	B4DGH1_HUMAN	
B4DGL8	B4DGL8_HUMAN	ABCB7
B4DGU4	B4DGU4_HUMAN	CTNNB1
B4DGY0	B4DGY0_HUMAN	
B4DGZ9	B4DGZ9_HUMAN	
B4DH54	B4DH54_HUMAN	
B4DHV7	B4DHV7_HUMAN	
B4DHW2	B4DHW2_HUMAN	
B4DIA5	B4DIA5_HUMAN	
B4DIB9	B4DIB9_HUMAN	TCTN1
B4DIC1	B4DIC1_HUMAN	
B4DII1	B4DII1_HUMAN	
B4DIW4	B4DIW4_HUMAN	
B4DJ71	B4DJ71_HUMAN	
B4DJ85	B4DJ85_HUMAN	
B4DJC7	B4DJC7_HUMAN	
B4DJE7	B4DJE7_HUMAN	
B4DJM0	B4DJM0_HUMAN	SNX10
B4DJQ5	B4DJQ5_HUMAN	
B4DJT9	B4DJT9_HUMAN	
B4DJU1	B4DJU1_HUMAN	
B4DJW8	B4DJW8_HUMAN	
B4DJX9	B4DJX9_HUMAN	STX16
B4DK77	B4DK77_HUMAN	OPA3
B4DK78	B4DK78_HUMAN	
B4DKH4	B4DKH4_HUMAN	
B4DKS0	B4DKS0_HUMAN	
B4DL95	B4DL95_HUMAN	
B4DLA6	B4DLA6_HUMAN	
B4DLF5	B4DLF5_HUMAN	
B4DLH7	B4DLH7_HUMAN	MPDU1
B4DLW1	B4DLW1_HUMAN	
B4DM06	B4DM06_HUMAN	
B4DM48	B4DM48_HUMAN	
B4DM53	B4DM53_HUMAN	
B4DM55	B4DM55_HUMAN	
B4DM58	B4DM58_HUMAN	DHFR
B4DMB7	B4DMB7_HUMAN	
B4DMY6	B4DMY6_HUMAN	CLN3
B4DMZ5	B4DMZ5_HUMAN	
B4DN15	B4DN15_HUMAN	
B4DN64	B4DN64_HUMAN	
B4DNC7	B4DNC7_HUMAN	
B4DNC9	B4DNC9_HUMAN	ISCU
B4DNJ2	B4DNJ2_HUMAN	
B4DNK3	B4DNK3_HUMAN	
B4DNS0	B4DNS0_HUMAN	
B4DNT1	B4DNT1_HUMAN	SMARCA2
B4DP62	B4DP62_HUMAN	SLC25A1
B4DPF4	B4DPF4_HUMAN	
B4DPM2	B4DPM2_HUMAN	
B4DPS8	B4DPS8_HUMAN	
B4DPV3	B4DPV3_HUMAN	
B4DPW9	B4DPW9_HUMAN	
B4DQ80	B4DQ80_HUMAN	
B4DQI1	B4DQI1_HUMAN	C2
B4DQY0	B4DQY0_HUMAN	
B4DR50	B4DR50_HUMAN	
B4DR71	B4DR71_HUMAN	
B4DR82	B4DR82_HUMAN	
B4DR97	B4DR97_HUMAN	
B4DRA2	B4DRA2_HUMAN	
B4DRK2	B4DRK2_HUMAN	CTNND2
B4DRS2	B4DRS2_HUMAN	
B4DRW0	B4DRW0_HUMAN	
B4DSC8	B4DSC8_HUMAN	
B4DSI9	B4DSI9_HUMAN	
B4DSP5	B4DSP5_HUMAN	B4GALNT1
B4DSS9	B4DSS9_HUMAN	
B4DST2	B4DST2_HUMAN	
B4DSX9	B4DSX9_HUMAN	
B4DSZ6	B4DSZ6_HUMAN	
B4DT46	B4DT46_HUMAN	
B4DT51	B4DT51_HUMAN	
B4DT68	B4DT68_HUMAN	MYOT
B4DTD8	B4DTD8_HUMAN	
B4DTG3	B4DTG3_HUMAN	
B4DUB8	B4DUB8_HUMAN	
B4DUG1	B4DUG1_HUMAN	
B4DUH2	B4DUH2_HUMAN	
B4DV48	B4DV48_HUMAN	
B4DVI5	B4DVI5_HUMAN	
B4DW50	B4DW50_HUMAN	
B4DWB0	B4DWB0_HUMAN	
B4DWG8	B4DWG8_HUMAN	
B4DX62	B4DX62_HUMAN	
B4DXM1	B4DXM1_HUMAN	
B4DXQ7	B4DXQ7_HUMAN	
B4DYG2	B4DYG2_HUMAN	
B4DYI6	B4DYI6_HUMAN	
B4DYR6	B4DYR6_HUMAN	
B4DZB8	B4DZB8_HUMAN	
B4DZC7	B4DZC7_HUMAN	
B4DZE2	B4DZE2_HUMAN	
B4DZT3	B4DZT3_HUMAN	
B4DZW8	B4DZW8_HUMAN	
B4E0L7	B4E0L7_HUMAN	LIAS
B4E0L8	B4E0L8_HUMAN	
B4E0R1	B4E0R1_HUMAN	
B4E0T2	B4E0T2_HUMAN	PEX5
B4E0X2	B4E0X2_HUMAN	
B4E0Z4	B4E0Z4_HUMAN	
B4E105	B4E105_HUMAN	
B4E1C5	B4E1C5_HUMAN	HARS
B4E1Y0	B4E1Y0_HUMAN	
B4E1Y7	B4E1Y7_HUMAN	
B4E236	B4E236_HUMAN	
B4E295	B4E295_HUMAN	
B4E2K6	B4E2K6_HUMAN	
B4E2Q0	B4E2Q0_HUMAN	ATP2C1
B4E2W4	B4E2W4_HUMAN	
B4E2W9	B4E2W9_HUMAN	
B4E324	B4E324_HUMAN	
B4E359	B4E359_HUMAN	
B4E3E9	B4E3E9_HUMAN	
B4E3K7	B4E3K7_HUMAN	
B4E3S4	B4E3S4_HUMAN	
B4E3W2	B4E3W2_HUMAN	
B5MCV2	B5MCV2_HUMAN	D2HGDH
B5MCZ6	B5MCZ6_HUMAN	FANCL
B5TYJ1	B5TYJ1_HUMAN	CACNA1A
B6D4Y2	B6D4Y2_HUMAN	ALK
B6ECB3	B6ECB3_HUMAN	MUC1
B7XCW9	B7XCW9_HUMAN	ABCA1
B7Z1M0	B7Z1M0_HUMAN	
B7Z1M2	B7Z1M2_HUMAN	
B7Z1N3	B7Z1N3_HUMAN	
B7Z1N4	B7Z1N4_HUMAN	
B7Z1N8	B7Z1N8_HUMAN	BEST1
B7Z242	B7Z242_HUMAN	
B7Z299	B7Z299_HUMAN	
B7Z2C7	B7Z2C7_HUMAN	
B7Z2C9	B7Z2C9_HUMAN	
B7Z2R2	B7Z2R2_HUMAN	UQCRB
B7Z2R3	B7Z2R3_HUMAN	
B7Z2X5	B7Z2X5_HUMAN	PGAP2
B7Z357	B7Z357_HUMAN	
B7Z360	B7Z360_HUMAN	
B7Z375	B7Z375_HUMAN	
B7Z3H4	B7Z3H4_HUMAN	BTRC
B7Z3M9	B7Z3M9_HUMAN	
B7Z3W9	B7Z3W9_HUMAN	
B7Z3X3	B7Z3X3_HUMAN	
B7Z493	B7Z493_HUMAN	FGD4
B7Z4K4	B7Z4K4_HUMAN	FTSJ1
B7Z4P9	B7Z4P9_HUMAN	
B7Z4U6	B7Z4U6_HUMAN	
B7Z4Y3	B7Z4Y3_HUMAN	
B7Z550	B7Z550_HUMAN	C8B
B7Z555	B7Z555_HUMAN	
B7Z591	B7Z591_HUMAN	TMCO1
B7Z596	B7Z596_HUMAN	TPM1
B7Z5D4	B7Z5D4_HUMAN	
B7Z5E4	B7Z5E4_HUMAN	
B7Z5N6	B7Z5N6_HUMAN	
B7Z5V3	B7Z5V3_HUMAN	
B7Z600	B7Z600_HUMAN	
B7Z653	B7Z653_HUMAN	
B7Z673	B7Z673_HUMAN	DACT1
B7Z6C2	B7Z6C2_HUMAN	
B7Z6C3	B7Z6C3_HUMAN	
B7Z6M6	B7Z6M6_HUMAN	
B7Z6S9	B7Z6S9_HUMAN	
B7Z6V4	B7Z6V4_HUMAN	
B7Z6Y2	B7Z6Y2_HUMAN	
B7Z6Y5	B7Z6Y5_HUMAN	
B7Z722	B7Z722_HUMAN	TPM1
B7Z792	B7Z792_HUMAN	
B7Z7A1	B7Z7A1_HUMAN	
B7Z7F2	B7Z7F2_HUMAN	
B7Z7K6	B7Z7K6_HUMAN	
B7Z7Q4	B7Z7Q4_HUMAN	
B7Z7T7	B7Z7T7_HUMAN	
B7Z7W2	B7Z7W2_HUMAN	
B7Z7Y0	B7Z7Y0_HUMAN	
B7Z826	B7Z826_HUMAN	
B7Z8H0	B7Z8H0_HUMAN	
B7Z8W0	B7Z8W0_HUMAN	
B7Z954	B7Z954_HUMAN	
B7Z999	B7Z999_HUMAN	
B7Z9A1	B7Z9A1_HUMAN	
B7Z9I1	B7Z9I1_HUMAN	ACADM
B7Z9N2	B7Z9N2_HUMAN	ARD1A
B7Z9T5	B7Z9T5_HUMAN	
B7Z9U8	B7Z9U8_HUMAN	
B7Z9Z3	B7Z9Z3_HUMAN	
B7ZAD2	B7ZAD2_HUMAN	
B7ZAW0	B7ZAW0_HUMAN	
B7ZAX4	B7ZAX4_HUMAN	
B7ZB02	B7ZB02_HUMAN	PRPS1
B7ZB17	B7ZB17_HUMAN	
B7ZB80	B7ZB80_HUMAN	
B7ZKN1	B7ZKN1_HUMAN	UTX
B7ZKN5	B7ZKN5_HUMAN	UTX
B7ZKN6	B7ZKN6_HUMAN	UTX
B7ZKN7	B7ZKN7_HUMAN	BLM
B7ZLH2	B7ZLH2_HUMAN	LMX1B
B7ZLK5	B7ZLK5_HUMAN	FOXP2
B7ZLR4	B7ZLR4_HUMAN	ATP7B
B7ZLW0	B7ZLW0_HUMAN	LPP
B7ZLW3	B7ZLW3_HUMAN	TLL1
B7ZLW4	B7ZLW4_HUMAN	SLC6A20
B7ZLW5	B7ZLW5_HUMAN	STIL
B7ZM61	B7ZM61_HUMAN	PLCE1
B7ZMF5	B7ZMF5_HUMAN	KCNMA1
B7ZMJ3	B7ZMJ3_HUMAN	ADAMTSL4
B7ZMM7	B7ZMM7_HUMAN	COL4A6
B7ZW00	B7ZW00_HUMAN	COL6A3
B7ZW61	B7ZW61_HUMAN	ZFP57
B8XXQ3	B8XXQ3_HUMAN	
B8ZWD1	B8ZWD1_HUMAN	DBI
B8ZWD8	B8ZWD8_HUMAN	DBI
B9A012	B9A012_HUMAN	MYO7A
B9A6J2	B9A6J2_HUMAN	RAB3GAP1
B9EG74	B9EG74_HUMAN	CDK5RAP2
B9EG76	B9EG76_HUMAN	LTBP3
B9EGE6	B9EGE6_HUMAN	DFNB31
B9EGN3	B9EGN3_HUMAN	SYNJ1
B9VVT8	B9VVT8_HUMAN	HNF4A
C7S316	C7S316_HUMAN	KCNE1
C8C060	C8C060_HUMAN	BMP2
C9J5X1	C9J5X1_HUMAN	IGF1R
C9JC87	C9JC87_HUMAN	AP4M1
C9JFZ1	C9JFZ1_HUMAN	SYNJ1
C9JJX6	C9JJX6_HUMAN	ARVCF
C9JLT1	C9JLT1_HUMAN	
C9JNM7	C9JNM7_HUMAN	NPHP1
C9JR67	C9JR67_HUMAN	SGCE
C9JR72	KBTBD_HUMAN	KBTBD13
D2CGD1	D2CGD1_HUMAN	FGFR2
D2DTW2	D2DTW2_HUMAN	MEFV
D2DXM9	D2DXM9_HUMAN	
D2JYH4	D2JYH4_HUMAN	ACTA2
D2JYI1	D2JYI1_HUMAN	TGFBR2
D2KUA6	D2KUA6_HUMAN	PPARG
D3DNG8	D3DNG8_HUMAN	AGTR1
D3DNN4	D3DNN4_HUMAN	BCHE
D3DP56	D3DP56_HUMAN	PRIMPOL
D3DPA4	D3DPA4_HUMAN	ACVR1
D3DPU8	D3DPU8_HUMAN	COL9A2
D3DQ79	D3DQ79_HUMAN	NEXN
D3DRD5	D3DRD5_HUMAN	FGFR2
D3DSM4	D3DSM4_HUMAN	COL18A1
D3DSM5	D3DSM5_HUMAN	COL18A1
D3DU13	D3DU13_HUMAN	ACE
D3DX95	D3DX95_HUMAN	CHAT
D3GC14	D3GC14_HUMAN	KLF6
D3YJ43	D3YJ43_HUMAN	MECP2
D5MRH1	D5MRH1_HUMAN	KCNMA1
D6R9A8	D6R9A8_HUMAN	CTNND2
D6R9J8	D6R9J8_HUMAN	
D6RDW0	D6RDW0_HUMAN	PRDM16
D6REB5	D6REB5_HUMAN	IDUA
D6REQ6	D6REQ6_HUMAN	RNASET2
D6RFM5	D6RFM5_HUMAN	SDHA
D6RGV2	D6RGV2_HUMAN	IL7R
D6RGY6	D6RGY6_HUMAN	SLC45A2
D6RIY7	D6RIY7_HUMAN	TUSC3
D6W5D9	D6W5D9_HUMAN	BCL11A
D6W5I0	D6W5I0_HUMAN	hCG_40733
D6W5L6	D6W5L6_HUMAN	SFTPB
D6W601	D6W601_HUMAN	ADAT3
D7RIH8	D7RIH8_HUMAN	HLA-DRB1
D8L7E9	D8L7E9_HUMAN	MEF2C
D9HTE9	D9HTE9_HUMAN	SLC25A1
D9YZU5	D9YZU5_HUMAN	HBB
D9YZU7	D9YZU7_HUMAN	HBE1
D9YZU8	D9YZU8_HUMAN	HBG1
D9YZU9	D9YZU9_HUMAN	HBG2
D9YZV4	D9YZV4_HUMAN	TPM1
D9YZV5	D9YZV5_HUMAN	TPM1
D9YZV7	D9YZV7_HUMAN	TPM1
D9YZV9	D9YZV9_HUMAN	BCL11A
D9ZGF1	D9ZGF1_HUMAN	CITED2
